variable_name,Comments,N,Average in Secs,Max in Secs,Min in Secs
respondent_2_no,2,392,22.30,55.00,1.02
name_contact2,9,510,21.96,57.00,1.17
TIME_usual_ag,37,195,21.95,59.00,1.00
TIME_next_actother,0,10410,21.67,25.00,19.00
holders_name1,0,323,21.58,56.00,1.75
name_contact1,2,521,20.86,59.00,1.18
Time_stamp1,3,174,20.33,59.00,1.00
Nakawuka_DFT,0,25,19.72,46.68,1.22
Mudega_DFT,0,23,19.51,50.45,1.22
TIME_next_agother,0,10412,19.50,28.00,8.00
TIME_next,388,2326,19.05,59.00,1.00
DL_rooms,0,503,18.96,59.00,1.03
phone_contact1,12,522,18.80,59.00,1.05
TIME_morning1_agsep,1,328,18.25,43.00,1.47
PAR_year,22,747,18.06,58.00,1.02
Wandeka_DFT,0,25,17.98,47.07,1.22
TIME_wake,8,168,17.96,58.00,1.00
PLOT_nam,16,725,17.43,59.00,1.00
CROP_code_other,1,620,17.35,50.00,4.68
DL_light_other,0,316,17.00,28.00,9.00
PAR_area,3,731,16.89,59.00,0.00
EN_decision,1,175,16.70,54.00,1.08
phone_contact2,26,518,16.43,52.00,1.08
TIME_morning1,36,200,16.05,59.00,1.00
household_address,3,267,15.66,59.00,0.00
EN_timeuse,1,176,15.64,59.00,1.03
TIME_morning1_sale,2,325,15.60,29.00,3.00
PART2_respondent,21,181,15.60,58.00,1.00
TIME_next_finish,34,13913,15.28,59.00,1.00
EN_sametime,3,432,14.89,47.00,2.43
TIME_usual,23,192,14.67,59.00,1.00
Lead,0,198,14.42,57.00,1.10
CROP_consume_amount,181,1876,14.34,59.00,1.00
PAR_name,3,434,13.82,59.00,0.00
PAR_location,1,534,13.71,59.00,1.00
TIME_next_agsep,18,10801,13.69,59.00,1.00
PAR_numplots,7,749,13.59,59.00,1.03
PLOT_cultivated,22,557,13.56,56.00,0.00
DL_water,0,508,13.34,50.00,2.00
LS_consumed_home,56,2089,13.31,57.00,0.00
EN_comments,1,206,13.21,59.00,1.00
CROP_harvest,83,1071,13.07,58.00,0.00
DL_light,0,512,12.87,35.00,1.00
EN_holder,2,172,12.74,55.00,1.07
HH_age,13,2186,12.67,59.00,0.00
DL_location,6,508,12.66,53.00,2.00
HH_relation,69,1227,12.58,58.00,0.00
TIME_next_sale,6,10726,12.41,51.00,1.00
DL_floor,6,516,12.31,56.00,0.00
HH_polygamy,9,1094,12.07,42.00,1.00
