"id","action","user","variable_name","date","time"
"9930ca","AnswerSet","Headquarters","head_name","09/12/2016","07:47:56"
"9930ca","AnswerSet","Headquarters","district_name","09/12/2016","07:47:56"
"9930ca","AnswerSet","Headquarters","district_id","09/12/2016","07:47:56"
"9930ca","AnswerSet","Headquarters","county_name","09/12/2016","07:47:56"
"9930ca","AnswerSet","Headquarters","county_id","09/12/2016","07:47:56"
"9930ca","AnswerSet","Headquarters","subcounty_name","09/12/2016","07:47:56"
"9930ca","AnswerSet","Headquarters","subcounty_id","09/12/2016","07:47:56"
"9930ca","AnswerSet","Headquarters","parish_name","09/12/2016","07:47:56"
"9930ca","AnswerSet","Headquarters","parish_id","09/12/2016","07:47:56"
"9930ca","AnswerSet","Headquarters","enumerationarea_name","09/12/2016","07:47:56"
"9930ca","AnswerSet","Headquarters","enumeration_area","09/12/2016","07:47:56"
"9930ca","AnswerSet","Headquarters","localcouncil1_name","09/12/2016","07:47:56"
"9930ca","AnswerSet","Headquarters","localcouncil1_id","09/12/2016","07:47:56"
"9930ca","GroupDisabled","","4acbdbad9cdef15f3a3dbb54f0c76af4","",""
"9930ca","GroupDisabled","","1c540d7992d95836a22a8fb764260fa9","",""
"9930ca","GroupDisabled","","97e777cdede7e812bca15678959bd60f","",""
"9930ca","QuestionDisabled","","respondent_1","",""
"9930ca","QuestionDisabled","","respondent_1_holder","",""
"9930ca","QuestionDisabled","","holders_name1","",""
"9930ca","QuestionDisabled","","respondent_1_notholder","",""
"9930ca","QuestionDisabled","","respondent_2","",""
"9930ca","QuestionDisabled","","respondent_num","",""
"9930ca","QuestionDisabled","","respondent_2_no","",""
"9930ca","QuestionDisabled","","available_now","",""
"9930ca","QuestionDisabled","","available_now2","",""
"9930ca","QuestionDisabled","","available_day","",""
"9930ca","QuestionDisabled","","available_day2","",""
"9930ca","QuestionDisabled","","hour_available","",""
"9930ca","QuestionDisabled","","am_pm","",""
"9930ca","QuestionDisabled","","consent_respondent_1","",""
"9930ca","QuestionDisabled","","consent_respondent_2","",""
"9930ca","QuestionDisabled","","TIME_morning1_actother","",""
"9930ca","QuestionDisabled","","TIME_morning1_ag","",""
"9930ca","QuestionDisabled","","TIME_morning1_agsep","",""
"9930ca","QuestionDisabled","","TIME_morning1_agother","",""
"9930ca","QuestionDisabled","","TIME_morning1_sale","",""
"9930ca","QuestionDisabled","","TIME_morning1_finish","",""
"9930ca","QuestionDisabled","","EN_sametime","",""
"9930ca","QuestionDisabled","","EN_part1","",""
"9930ca","QuestionDisabled","","EN_part2","",""
"9930ca","QuestionDisabled","","EN_who_hh","",""
"9930ca","QuestionDisabled","","name_contact1","",""
"9930ca","QuestionDisabled","","relationship_contact1","",""
"9930ca","QuestionDisabled","","phone_contact1","",""
"9930ca","QuestionDisabled","","name_contact2","",""
"9930ca","QuestionDisabled","","relationship_contact2","",""
"9930ca","QuestionDisabled","","phone_contact2","",""
"9930ca","QuestionDisabled","","DL_accom","",""
"9930ca","QuestionDisabled","","DL_accom_other","",""
"9930ca","QuestionDisabled","","DL_rooms","",""
"9930ca","QuestionDisabled","","DL_light","",""
"9930ca","QuestionDisabled","","DL_light_other","",""
"9930ca","QuestionDisabled","","DL_water","",""
"9930ca","QuestionDisabled","","DL_water_other","",""
"9930ca","QuestionDisabled","","DL_location","",""
"9930ca","QuestionDisabled","","DL_toilet","",""
"9930ca","QuestionDisabled","","DL_toilet_other","",""
"9930ca","QuestionDisabled","","DL_floor","",""
"9930ca","QuestionDisabled","","DL_floor_other","",""
"9930ca","QuestionDisabled","","DL_walls","",""
"9930ca","QuestionDisabled","","DL_walls_other","",""
"9930ca","QuestionDisabled","","DL_roof","",""
"9930ca","QuestionDisabled","","DL_roof_other","",""
"9930ca","QuestionDisabled","","LS_code_other","",""
"9930ca","QuestionDisabled","","LS_ownjointly_A","",""
"9930ca","QuestionDisabled","","LS_ownjointly_hh","",""
"9930ca","QuestionDisabled","","LS_manager_hh","",""
"9930ca","QuestionDisabled","","LS_vet_hh","",""
"9930ca","QuestionDisabled","","LS_consumed_decis","",""
"9930ca","QuestionDisabled","","LS_consumed_decis_hh","",""
"9930ca","QuestionDisabled","","LS_sell_decis","",""
"9930ca","QuestionDisabled","","LS_sell_decis_hh","",""
"9930ca","QuestionDisabled","","LS_earnings","",""
